"terms","count","probability"
"get rid",61,0.000469472728252253
"get started",61,0.000469472728252253
"go ahead",61,0.000469472728252253
"going take",61,0.000469472728252253
"gotta get",61,0.000469472728252253
"half hour",61,0.000469472728252253
"hope u",61,0.000469472728252253
"id say",61,0.000469472728252253
"just said",61,0.000469472728252253
"never heard",61,0.000469472728252253
"news conference",61,0.000469472728252253
"please let",61,0.000469472728252253
"points rebounds",61,0.000469472728252253
"take away",61,0.000469472728252253
"ten years",61,0.000469472728252253
"well just",61,0.000469472728252253
"whats wrong",61,0.000469472728252253
"yes im",61,0.000469472728252253
"across street",60,0.00046177645401861
"attorney general",60,0.00046177645401861
"bin laden",60,0.00046177645401861
"board members",60,0.00046177645401861
"can follow",60,0.00046177645401861
"can think",60,0.00046177645401861
"chris christie",60,0.00046177645401861
"civil rights",60,0.00046177645401861
"economic development",60,0.00046177645401861
"gave us",60,0.00046177645401861
"give away",60,0.00046177645401861
"ill see",60,0.00046177645401861
"im also",60,0.00046177645401861
"just right",60,0.00046177645401861
"just wanna",60,0.00046177645401861
"locker room",60,0.00046177645401861
"one things",60,0.00046177645401861
"per game",60,0.00046177645401861
"rt im",60,0.00046177645401861
"southern california",60,0.00046177645401861
"still love",60,0.00046177645401861
"weight loss",60,0.00046177645401861
"can afford",59,0.000454080179784966
"can hear",59,0.000454080179784966
"check us",59,0.000454080179784966
"days ago",59,0.000454080179784966
"didnt really",59,0.000454080179784966
"doesnt get",59,0.000454080179784966
"dont just",59,0.000454080179784966
"dont mind",59,0.000454080179784966
"earlier month",59,0.000454080179784966
"ill go",59,0.000454080179784966
"im working",59,0.000454080179784966
"just let",59,0.000454080179784966
"know just",59,0.000454080179784966
"know people",59,0.000454080179784966
"lets just",59,0.000454080179784966
"lets make",59,0.000454080179784966
"make money",59,0.000454080179784966
"many different",59,0.000454080179784966
"need new",59,0.000454080179784966
"new book",59,0.000454080179784966
"one us",59,0.000454080179784966
"point guard",59,0.000454080179784966
"police chief",59,0.000454080179784966
"really enjoyed",59,0.000454080179784966
"said can",59,0.000454080179784966
"south carolina",59,0.000454080179784966
"thanks great",59,0.000454080179784966
"thats one",59,0.000454080179784966
